Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334
Random Forest,0.8833333333333333,0.84,0.875,0.8571428571428571
SVM,0.8833333333333333,0.8695652173913043,0.8333333333333334,0.851063829787234
KNN,0.8333333333333334,0.8181818181818182,0.75,0.782608695652174
Gradient Boosting,0.8,0.7307692307692307,0.7916666666666666,0.76
